name,score,smiles,inchikey,source,mw
CP-945598,0.78,CCNC1(C(N)=O)CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,UNAZAADNBYXMIV-UHFFFAOYSA-N,NAFLDkb_investigational,510.43
Calcitriol,0.78,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,NAFLDkb_investigational,416.65
Canagliflozin,0.78,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,NAFLDkb_investigational,444.52
Celsentri,0.78,Cc1nnc(C(C)C)n1[C@@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,GSNHKUDZZFZSJB-QYOOZWMWSA-N,NAFLDkb_investigational,513.68
Cenicriviroc,0.78,CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(S(=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,PNDKCRDVVKJPKG-UHFFFAOYSA-N,NAFLDkb_investigational,696.96
Cholestyramine,0.78,CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1,HGMSJMJPXGGEBP-UHFFFAOYSA-N,NAFLDkb_investigational,296.48
Chromium picolinate,0.78,O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.[Cr+3],CBDQOLKNTOMMTL-UHFFFAOYSA-K,NAFLDkb_investigational,418.31
Cilofexor,0.78,O=C(O)c1ccnc(N2CC(O)(c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)cc3Cl)C2)c1,KZSKGLFYQAYZCO-UHFFFAOYSA-N,NAFLDkb_investigational,586.86
Cilostazol,0.78,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,RRGUKTPIGVIEKM-UHFFFAOYSA-N,NAFLDkb_investigational,369.47
Citrulline,0.78,NC(=O)NCCC[C@H](N)C(=O)O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,NAFLDkb_investigational,175.19
Coenzyme Q10,0.78,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,ACTIUHUUMQJHFO-UPTCCGCDSA-N,NAFLDkb_investigational,863.36
Colesevelam,0.78,C=CCN.C=CCNCCCCCCCCCC.C=CCNCCCCCC[N+](C)(C)C.ClCC1CO1.[Cl-],NXOLVMFMAFCDSR-UHFFFAOYSA-M,NAFLDkb_investigational,581.8
Cranberry,0.78,O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1.[Na],KSQCYWPBMKMMHA-QUABFQRHSA-N,NAFLDkb_investigational,561.53
Curcumin,0.78,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-FCXRPNKRSA-N,NAFLDkb_investigational,368.39
Cysteamine bitartrate,0.78,NCCS.O=C(O)[C@H](O)[C@@H](O)C(=O)O,NSKJTUFFDRENDM-ZVGUSBNCSA-N,NAFLDkb_investigational,227.24
DHA,0.78,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,MBMBGCFOFBJSGT-KUBAVDMBSA-N,NAFLDkb_investigational,328.5
DHA-EE,0.78,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC,ITNKVODZACVXDS-YNUSHXQLSA-N,NAFLDkb_investigational,356.55
Dabigatran Etexilate,0.78,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,KSGXQBZTULBEEQ-UHFFFAOYSA-N,NAFLDkb_investigational,627.75
Dapagliflozin,0.78,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,JVHXJTBJCFBINQ-ADAARDCZSA-N,NAFLDkb_investigational,408.88
